2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,Difference
96.98,95.49,93.65,84.31,66.25,45.36,51.620000000000005
120.81,133.73,142.01,140.57,122.97,102.66,18.150000000000006
65.1,58.31,57.74,57.86,53.77,26.8,38.3
190.02,190.74,192.68,208.14,189.75,180.09,9.930000000000007
144.7,147.48,149.34,162.47,155.11,139.38,5.319999999999993
60.47,60.24,61.4,59.44,54.16,53.73,6.740000000000002
195.48,221.75,218.95,227.05,224.03,237.95,-42.47
178.86,184.51,187.9,198.97,181.76,161.12,17.74000000000001
65.63,64.57,66.5,65.77,53.58,36.21,29.419999999999995
142.87,141.87,143.99,141.63,120.26,108.07,34.80000000000001
117.26,119.09,118.84,114.49,107.68,113.62,3.6400000000000006
54.78,59.6,58.96,50.85,45.76,45.75,9.030000000000001
112.21,112.91,113.96,121.7,110.81,92.56,19.64999999999999
211.62,222.07,233.65,223.79,194.89,182.05,29.569999999999993
94.4,88.65,92.23,99.89,92.33,88.13,6.27000000000001
51.63,54.46,53.8,46.94,40.85,28.7,22.930000000000003
90.69,84.57,81.78,84.91,74.82,45.78,44.91
51.65,50.33,63.47,65.5,55.56,41.62,10.030000000000001
25.06,26.88,26.78,26.9,22.39,18.13,6.93
37.37,40.33,42.91,39.0,33.25,28.26,9.109999999999996
29.21,29.51,30.2,28.95,25.98,16.95,12.260000000000002
152.12,143.1,147.53,146.17,127.86,85.8,66.32000000000001
22.31,22.72,23.72,20.69,19.05,14.15,8.159999999999998
186.9,196.44,201.94,211.29,189.25,169.85,17.05000000000001
121.34,120.85,138.87,126.16,107.98,60.19,61.150000000000006
63.51,61.49,63.49,69.19,62.32,60.3,3.210000000000001
33.93,38.93,36.87,35.57,32.2,18.94,14.989999999999998
90.74,92.78,97.77,84.48,83.49,77.94,12.799999999999997
76.69,77.51,78.79,81.66,77.34,65.13,11.560000000000002
101.71,100.67,100.73,105.77,89.25,68.53,33.17999999999999
138.23,145.28,149.68,147.9,136.15,101.08,37.14999999999999
48.47,49.78,51.92,45.49,39.95,26.76,21.709999999999997
127.92,120.52,132.35,134.21,133.23,117.69,10.230000000000004
