,Unnamed: 0,Symbol,Name,Sector,2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,2020-03-20,2020-03-27,2020-04-03,2020-04-10,2020-04-17,2020-04-24
17,18,ALB,Albemarle Corp,Materials,66.3200,68.9100,67.1300,63.5900,64.4900,67.9800,66.1400,64.9000,65.3800,64.3000,66.6300,70.3600,72.0100,71.5700,72.1000,80.9000,81.1800,80.2800,82.5400,89.6400,92.4300,81.8500,82.6000,68.0100,53.4500,55.0200,52.7000,,61.4700,61.5300
18,19,ARE,Alexandria Real Estate Equities Inc,Real Estate,154.8000,153.9700,156.0100,158.2500,158.4200,153.9100,158.7600,159.6700,162.5200,161.9400,156.4700,159.2400,160.4000,160.6400,158.5700,162.9000,164.6600,163.2000,167.5500,174.9300,167.9800,151.8800,159.0600,147.7400,123.3100,143.4700,129.9900,,155.3100,149.4900
19,20,ALXN,Alexion Pharmaceuticals,Health Care,98.0300,99.2500,98.4100,105.1800,109.3800,110.7900,108.3700,111.0300,113.9400,113.8900,110.4200,109.7500,108.5500,106.4100,109.4800,113.2700,105.2700,99.3900,100.5600,102.5600,103.1400,94.0300,91.9800,80.4400,80.3500,84.0100,89.7700,,103.4800,108.1200
20,21,ALGN,Align Technology,Health Care,181.5900,200.1600,213.8800,243.3800,257.0400,259.9200,263.9200,274.4000,277.3400,275.7200,266.0600,272.8900,277.6400,280.4400,293.3300,280.7000,269.9800,257.1000,258.6700,274.9500,260.2600,218.3500,225.1700,195.8800,144.8200,177.0400,154.2000,,193.0000,191.9700
21,22,ALLE,Allegion,Industrials,103.3200,101.4600,103.9500,113.3300,118.1900,115.6500,119.1200,119.0500,120.0300,122.9900,123.0100,124.2000,124.5900,123.8400,123.4300,128.0500,128.0000,129.3200,134.0400,138.9000,128.5800,114.9900,119.8000,111.8100,82.8400,91.6200,84.0400,,97.6300,96.5700
22,23,AGN,"Allergan, Plc",Health Care,168.4400,169.0900,173.6000,173.8400,178.2900,181.2800,183.6100,183.7900,184.9400,186.3700,188.3400,190.3000,191.4000,191.0800,191.8300,192.6800,188.1900,186.6400,197.0500,198.3200,200.1500,190.6700,191.9500,183.8500,170.8800,173.0000,175.7100,,187.0000,186.9000
23,24,ADS,Alliance Data Systems,Information Technology,123.8800,122.5500,123.5400,104.8000,101.0600,107.9000,103.4500,104.4100,106.9100,105.2600,110.0500,111.2900,110.9100,110.3800,112.0700,112.9100,107.4000,102.7900,105.9200,102.8300,102.1600,85.8800,72.6100,49.5100,27.5500,36.4700,26.4900,,37.8600,40.4000
24,25,LNT,Alliant Energy Corp,Utilities,54.3500,53.0250,52.9800,53.1800,53.0300,51.6800,52.8800,53.3900,53.0000,53.1100,52.9250,54.9500,54.3400,53.8000,55.0700,57.1600,58.9300,59.3600,58.3300,59.7400,59.1400,52.1200,57.4900,50.9000,40.7000,47.7500,45.1500,,52.8700,49.9800
25,26,ALL,Allstate Corp,Financials,108.4600,107.9300,108.4100,107.2400,105.9000,108.1900,111.1000,110.0400,111.3500,111.1000,109.7000,111.5800,111.8700,112.8300,113.4500,117.5500,118.2800,118.5400,124.4300,125.5700,123.6200,105.2500,107.1400,92.7700,73.8700,88.4600,85.9600,,104.9200,101.4400
26,27,GOOGL,Alphabet Inc Class A,Information Technology,1210.9600,1215.7100,1244.4100,1264.3000,1272.2500,1309.0000,1333.5400,1293.6700,1304.0900,1339.3900,1346.8700,1351.2200,1354.6400,1361.5200,1428.9600,1479.5200,1466.1700,1432.7800,1479.1100,1518.7300,1483.4600,1339.2500,1295.7400,1214.2700,1068.2100,1110.2600,1092.7000,,1279.0000,1276.6000
27,28,GOOG,Alphabet Inc Class C,Information Technology,1209.0000,1215.4500,1245.4900,1265.1300,1273.7400,1311.3700,1334.8700,1295.3400,1304.9600,1340.6200,1347.8300,1349.5900,1351.8900,1360.6600,1429.7300,1480.3900,1466.7100,1434.2300,1479.2300,1520.7400,1485.1100,1339.3300,1298.4100,1219.7300,1072.3200,1110.7100,1097.8800,,1283.2500,1279.3100
28,29,MO,Altria Group Inc,Consumer Staples,41.6500,42.5700,44.3300,46.8000,45.0600,46.4100,47.9700,49.0000,49.7000,50.4100,50.1600,51.1300,50.4000,49.6300,50.2200,51.0200,50.2500,47.5300,46.2200,45.1700,45.8900,40.3700,42.1500,40.0700,34.2800,36.6400,37.4100,,40.8500,39.4200
29,30,AMZN,Amazon.com Inc.,Consumer Discretionary,1739.6500,1731.9200,1757.5100,1761.3300,1791.4400,1785.8800,1739.4900,1745.7200,1800.8000,1751.6000,1760.9400,1786.5000,1869.8000,1874.9700,1883.1600,1864.7200,1861.6400,2008.7200,2079.2800,2134.8700,2095.9700,1883.7500,1901.0900,1785.0000,1846.0900,1900.1000,1906.5900,,2375.0000,2410.2200
30,31,AEE,Ameren Corp,Utilities,79.5300,77.0500,76.6200,76.5900,77.3600,73.8100,76.6200,74.9500,74.3300,75.1900,75.0200,76.5700,76.3000,76.0800,77.0100,79.7500,80.3900,82.0500,83.6000,86.7900,85.3400,79.0000,85.3500,76.1500,62.9300,74.2400,68.7500,,77.8300,73.6400
31,32,AAL,American Airlines Group,Industrials,25.8300,27.3550,28.2200,30.8600,30.5600,30.7600,28.8600,28.6800,28.7400,27.7250,27.4800,29.0400,28.4400,27.6500,27.3200,28.4000,27.6400,26.8400,28.3800,29.2000,27.8200,19.0500,15.9700,14.3100,10.3800,14.0400,9.3900,,11.5700,10.3100
32,33,AEP,American Electric Power,Utilities,93.6100,92.3400,94.1400,94.3500,93.5600,89.0700,89.5600,91.5400,91.3500,92.3900,92.0500,94.9000,94.1900,93.3600,94.3400,98.5600,102.1600,104.2200,101.3400,103.7600,101.7100,89.2600,97.7000,86.4700,71.4500,83.4000,72.5000,,86.3800,83.2300
33,34,AXP,American Express Co,Financials,114.4100,116.4000,116.7600,118.2600,119.1400,121.4700,120.7600,119.0600,120.1200,120.6100,124.7200,125.7700,125.1900,124.6000,127.2800,131.5200,135.1100,129.8700,131.8200,135.8700,134.9000,109.9300,108.2400,99.6000,74.1200,88.7300,73.6000,,87.3900,83.1700
34,35,AIG,"American International Group, Inc.",Financials,54.4300,54.4200,53.9700,52.8000,53.7600,55.9100,53.9300,53.3000,52.6600,51.8600,51.6000,51.5400,51.0700,51.3600,52.0300,52.9000,51.0600,50.2600,53.4600,48.4800,48.6000,42.1600,37.8400,28.5000,19.2300,25.5100,20.4600,,24.5000,23.3500
