2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31
47.5100,45.3100,47.9600,45.9700,39.9300,39.3100
71.8600,75.1200,79.8900,74.4100,63.4600,42.1200
35.1600,38.4600,40.6100,37.2800,31.6900,18.8100
108.8600,112.8100,110.9000,121.2200,103.3900,141.5500
205.7500,202.7300,200.7200,217.1100,198.8200,172.9100
63.9200,61.3000,62.8400,68.5100,60.4200,58.7500
54.4300,53.4000,55.3500,58.4000,53.4900,44.2500
60.9400,64.1100,62.0200,61.3800,60.9300,46.4700
68.6000,67.8200,68.8400,73.7800,67.5700,66.3600
44.8200,44.1500,44.9700,43.1900,40.4300,34.3800
65.4200,70.4100,71.7500,61.1600,52.6400,29.3400
27.0500,28.8700,34.2400,32.9200,26.6900,29.3400
67.5200,72.5600,87.5700,75.7800,68.0200,42.8500
55.2000,59.9400,65.0300,59.4300,48.4200,30.8000
92.2200,86.8900,90.4700,94.0000,78.8200,78.0000
190.3300,186.0600,189.7500,188.3000,172.3800,143.3600
29.6300,29.0400,29.1100,26.6900,23.8600,20.5400
297.1100,299.8100,293.9200,305.5200,281.1400,285.1300
11.6900,11.5400,11.2500,10.2600,9.2300,5.1600
138.7900,133.6600,142.1500,149.8400,143.2900,144.4000
70.2700,71.5400,72.3600,76.3400,70.4500,57.3000
172.4800,182.8600,178.9600,159.9700,151.2900,135.3200
66.3900,75.2700,74.2900,67.8200,59.1800,59.3300
52.3700,55.3500,52.7500,59.2000,53.2700,34.0000
137.8200,145.9800,153.4800,160.8700,144.5800,138.4100
112.2700,118.4400,109.0100,116.4300,97.5000,54.4600
58.6000,71.7700,75.0300,79.8700,77.6200,76.0600
174.1400,168.0500,173.2600,158.5800,156.4800,138.1600
55.0800,57.3100,58.4800,55.7400,46.1300,28.5300
54.7800,56.5400,56.5900,56.0000,49.2400,38.8300
20.2800,21.8900,25.9700,21.7200,16.2400,6.9100
127.0400,120.9500,119.7400,122.9900,120.1100,138.9100
80.2600,84.8700,84.8200,75.1300,65.5800,35.6700
26.9550,32.9400,32.7400,29.2600,25.7000,19.4400
25.2400,30.5200,30.4900,27.7700,25.1000,17.5400
34.3800,34.1700,35.4700,36.7600,33.5200,19.9900
160.3400,157.3600,155.9800,153.4100,150.3000,151.0100
110.4000,91.4600,94.0500,87.0700,83.0300,73.4700
82.5500,83.1100,82.8200,85.7500,78.1800,72.1900
103.8900,111.4800,115.2600,113.8500,102.7400,83.9400
127.3200,124.9400,129.8700,132.6100,111.6700,94.9700
94.2600,88.1700,91.2100,97.6300,91.7000,80.8800
35.1400,35.1800,34.6700,36.3100,32.4700,32.3800
27.6700,37.3300,37.5900,31.8800,24.1100,13.0500
41.7900,44.3000,45.3700,42.6200,45.7800,34.3200
76.0400,78.3700,79.2600,71.2700,61.5100,46.5800
87.1100,92.5000,94.7200,94.4700,90.7200,77.6900
35.2500,35.5200,36.1100,33.5600,34.6400,30.0600
192.0700,186.6700,192.9900,196.1100,180.4500,155.8300
62.9000,69.1000,75.4100,76.5500,67.1900,54.7900
238.3800,244.9400,233.2900,219.8600,204.8400,188.6200
96.4000,101.0100,107.5100,107.9200,101.3700,100.1700
70.1500,73.8600,76.2600,71.6300,64.1100,47.6500
121.4800,116.3900,119.8000,131.5200,116.9100,93.9700
69.3100,70.9000,83.7600,72.9100,63.2600,35.9200
10.7400,8.7300,10.9000,6.0500,5.8700,7.0700
136.7100,139.6400,140.1200,149.9000,142.0400,119.4500
566.7800,566.8500,583.7000,589.7300,572.8000,624.5700
88.6600,85.1000,80.9200,83.0800,75.1000,61.7100
327.1300,312.1800,300.8600,309.7600,283.3600,220.2400
186.2700,195.4700,206.5400,195.1600,183.6000,159.3400
257.0900,271.2600,276.8400,276.5700,247.8800,192.4200
83.7400,82.6400,85.0700,92.4400,86.4600,78.2100
45.4900,44.4000,45.5900,47.5900,43.1100,36.8100
136.6600,101.6600,108.1400,108.4500,98.6200,56.2700
72.9400,74.7600,78.0200,73.0400,70.4200,66.7200
112.2700,106.0500,105.6200,110.6800,100.3600,95.7600
67.5700,68.1300,69.7800,62.1200,51.4400,37.9700
144.0800,145.7100,139.6500,122.1200,119.9500,106.6300
191.6500,201.6400,205.2500,201.9100,192.4700,166.8000
35.9400,35.5200,36.9500,34.8800,34.2200,31.2500
136.0100,132.0700,128.7300,125.0200,116.3400,74.6100
152.6600,160.0500,151.2100,144.6400,141.1700,121.2600
131.7600,138.1500,139.0900,143.6600,139.7200,121.6400
29.0800,30.1900,30.7400,28.4500,24.4000,14.8500
48.3200,47.6900,48.6000,50.7900,44.5300,40.0700
106.1400,116.2400,115.6300,118.6100,109.3600,94.9900
51.5600,53.5600,52.0700,51.5400,42.4700,31.8900
48.8400,48.7000,49.7700,46.6800,40.1900,23.8900
16.1100,17.4400,18.8800,17.8900,9.3200,6.9100
91.5000,97.9600,99.8200,95.5900,93.1000,81.6900
43.5100,40.0500,38.9900,37.9700,36.2500,22.0500
8.5900,9.0600,9.3000,8.8200,6.9600,4.8300
69.0000,72.1700,76.3900,74.9300,69.1600,55.1900
60.0500,63.2600,65.3400,68.7100,61.7500,43.2500
